strategy_id,reason,day,n,first_seen_ts,last_seen_ts
baseline_v1,"entry_price=0.830 outside [0.1, 0.4)",2026-05-02,3,1777763580,1777766288
baseline_v1,"entry_price=0.018 outside [0.1, 0.4)",2026-05-03,3,1777776204,1777805000
baseline_v1,price out of bounds: 0.9969999999848939,2026-05-03,3,1777777932,1777802386
baseline_v1,price out of bounds: 0.9969999989978283,2026-05-02,3,1777766224,1777766224
baseline_v1,hours_to_res=5806.3 > 2160h cap (=90.0d),2026-05-03,3,1777772508,1777772536
baseline_v1,hours_to_res=-493828.2 < 72,2026-05-03,3,1777781528,1777781598
baseline_v1,hours_to_res=5807.8 > 2160h cap (=90.0d),2026-05-03,3,1777767096,1777767180
baseline_v1,"entry_price=0.043 outside [0.1, 0.4)",2026-05-03,3,1777775262,1777795736
baseline_v1,"entry_price=0.991 outside [0.1, 0.4)",2026-05-03,2,1777777934,1777788752
baseline_v1,price out of bounds: 0.9969999999737631,2026-05-03,2,1777789686,1777801388
baseline_v1,price out of bounds: 0.9969999999750749,2026-05-03,2,1777767170,1777789672
baseline_v1,"entry_price=0.530 outside [0.1, 0.4)",2026-05-02,2,1777759962,1777761762
baseline_v1,"entry_price=0.530 outside [0.1, 0.4)",2026-05-03,2,1777773492,1777776126
baseline_v1,price out of bounds: 0.9969999999773409,2026-05-03,2,1777773426,1777784252
baseline_v1,hours_to_res=-493823.5 < 72,2026-05-02,2,1777764472,1777764474
baseline_v1,"entry_price=0.029 outside [0.1, 0.4)",2026-05-03,2,1777777008,1777802072
baseline_v1,price out of bounds: 0.9969999999792292,2026-05-03,2,1777777960,1777789674
baseline_v1,"entry_price=0.007 outside [0.1, 0.4)",2026-05-03,2,1777801456,1777805922
baseline_v1,"entry_price=0.011 outside [0.1, 0.4)",2026-05-02,2,1777766290,1777766290
baseline_v1,price out of bounds: 0.9969999999808269,2026-05-03,2,1777780702,1777801384
baseline_v1,"entry_price=0.560 outside [0.1, 0.4)",2026-05-02,2,1777761720,1777761744
baseline_v1,"entry_price=0.982 outside [0.1, 0.4)",2026-05-03,2,1777782452,1777788842
baseline_v1,price out of bounds: 0.9969999999833833,2026-05-03,2,1777773496,1777799578
baseline_v1,price out of bounds: 0.998999995999005,2026-05-02,2,1777756278,1777756294
baseline_v1,hours_to_res=-493827.2 < 72,2026-05-03,2,1777777924,1777777936
baseline_v1,hours_to_res=-493827.5 < 72,2026-05-03,2,1777778874,1777778938
baseline_v1,hours_to_res=-493827.7 < 72,2026-05-03,2,1777779836,1777779844
baseline_v1,"entry_price=0.014 outside [0.1, 0.4)",2026-05-02,2,1777754492,1777755470
baseline_v1,price out of bounds: 0.9969999999861527,2026-05-02,2,1777753662,1777764458
baseline_v1,hours_to_res=-493829.7 < 72,2026-05-03,2,1777786958,1777786986
baseline_v1,hours_to_res=-493830.0 < 72,2026-05-03,2,1777787858,1777787880
baseline_v1,hours_to_res=-493831.1 < 72,2026-05-03,2,1777792132,1777792132
baseline_v1,hours_to_res=-493831.2 < 72,2026-05-03,2,1777792392,1777792414
baseline_v1,hours_to_res=-493831.7 < 72,2026-05-03,2,1777793950,1777794204
baseline_v1,hours_to_res=-493832.7 < 72,2026-05-03,2,1777797822,1777797836
baseline_v1,hours_to_res=-493833.0 < 72,2026-05-03,2,1777798692,1777798756
baseline_v1,hours_to_res=-493833.5 < 72,2026-05-03,2,1777800494,1777800496
baseline_v1,hours_to_res=-493834.0 < 72,2026-05-03,2,1777802304,1777802320
baseline_v1,"entry_price=0.016 outside [0.1, 0.4)",2026-05-02,2,1777763516,1777763516
baseline_v1,"entry_price=0.590 outside [0.1, 0.4)",2026-05-03,2,1777772556,1777776174
baseline_v1,hours_to_res=-493834.9 < 72,2026-05-03,2,1777805684,1777805684
baseline_v1,"entry_price=0.017 outside [0.1, 0.4)",2026-05-03,2,1777785172,1777796896
baseline_v1,"entry_price=0.020 outside [0.1, 0.4)",2026-05-03,2,1777795988,1777797838
baseline_v1,"entry_price=0.025 outside [0.1, 0.4)",2026-05-02,2,1777753590,1777754544
baseline_v1,"entry_price=0.027 outside [0.1, 0.4)",2026-05-03,2,1777773430,1777795994
baseline_v1,"entry_price=0.028 outside [0.1, 0.4)",2026-05-02,2,1777755438,1777762654
baseline_v1,"entry_price=0.028 outside [0.1, 0.4)",2026-05-03,2,1777777924,1777793046
baseline_v1,"entry_price=0.981 outside [0.1, 0.4)",2026-05-02,2,1777758166,1777764478
baseline_v1,price out of bounds: 0.996999999681461,2026-05-03,2,1777774350,1777774350
baseline_v1,hours_to_res=5797.8 > 2160h cap (=90.0d),2026-05-03,2,1777803184,1777803218
baseline_v1,"entry_price=0.647 outside [0.1, 0.4)",2026-05-02,2,1777759962,1777763514
baseline_v1,hours_to_res=5798.1 > 2160h cap (=90.0d),2026-05-03,2,1777802070,1777802074
baseline_v1,"entry_price=0.650 outside [0.1, 0.4)",2026-05-02,2,1777757198,1777758106
